degree,specialization,skills,cgpa,certificate,job_role
B.Tech,Electrical and Electronics Engineering,Automation;Electrical Design;variable frequency drives,76.285,Yes,Sales Service Engineer-Electrical
B.Tech,Electrical and Electronics,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Risk management skills;Writing skills;HR,94,No,Young Horticulture expert
BCA,Agriculture Engineering ,Business Knowledge,86,Yes,Sales 
BBA,Computer,"Work under Pressure, Leadership, Creativity Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills",72.2,No,Student (Unemployed)
BE,Sales & Marketing,Hardware skills;Business Knowledge;Leadership;Product knowledge;Problem Solving skills;Designing skills;Client management,66,No,Quality engineer 
B.Tech,Electronics and Communication Engineering,Active Listening;Hardware skills;Mass Communication;Risk management skills,74,No,Assistent Engineer
B.Com ,BPS,"Accounting Skills, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, SQL, Programming, Communication Skills, Negotiation Skills, Leadership, News Gathering, Excel, Interpersonal Skills, Presentation Skills, R, Linux, Writing, Tableau, Observation Skills, Reporting, Reading, Designing Skills",82.65,Yes,Student (Unemployed)
Diploma,Computers,Critical Thinking;Artistic/Creative Skills;Good communication skills,63.7,No,Back Office Executive
B.Tech,Civil Engineering,Active Listening;Programming Language skills;Python;SQL;Java,80.75,No,Software Engineer
B.Tech,Information TechNAlogy,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Leadership;Writing skills;Linux;SQL;Java;Client management;Good communication skills,83.6,Yes,Associate consultant
B.Sc,Information TechNAlogy,"Python, Analytic Thinking, People Management, Leadership, Excel, Logical Skills, Problem Solving skills",84.075,Yes,Student (Unemployed)
B.Sc,Mathematics,"Excel, Writing, Reading",76,Yes,Student (Unemployed)
MCA,Physics,C++,75.81,Yes,Salem Farmers producer company/current job appen 
B.Sc,Computer,"Gathering Informing, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Writing, Reading",84.55,No,HR Executive
B.Tech,Home science,"Business Knowledge, Programming, Communication Skills, Negotiation Skills, Editing, Creativity Skills, Market Study, Logical Skills, Interpersonal Skills, Wealth Management, Problem Solving skills, Mass Communication",80.75,Yes,Student (Unemployed)
B.Pharm,Communication & Political Science,"Life sciences;
Pharmacovigilance;pharmacology;
GMP;
Pharmaceutics;
Drug Discovery;
Clinical Trials;
Pharmacokinetics;
Clinical Research;
High-Performance Liquid Chromatography (HPLC);
Good Clinical Practice (GCP);
Good Laboratory Practice (GLP);
CRO ManagementCRO Management",87.4,Yes,Clinical Research Associate 
B.Tech,Pharmacy,"Cancer Research; cancer Biology ;bacterial transformation; molecular cloning; cell culture;
Gel Electrophoresis;
Fluorescence Microscopy;
Polymerase Chain Reaction (PCR);
Real-Time Polymerase Chain Reaction (qPCR)",76.285,Yes,Research Associate
B.Tech,BiotechNAlogy,"Active Listening, Business Knowledge, Communication Skills, Leadership, Interpersonal Skills, Presentation Skills, Problem Solving skills, Reading, Designing Skills",65.36,No,Student (Unemployed)
B.Tech,Electronics and Communication Engineering,Business Knowledge;Product knowledge;Problem Solving skills,72,Yes,Site Engineer
BA,Electrical and Electronics Engineering,Critical Thinking;Negotiation skills;Editing,69,No,Accountent
B.Tech,General,Problem Solving skills;Java;MATLAB,62.32,No,BMS executive 
BBA,Automobile engineering ,Accounting Skills;Business Knowledge,71.25,No,Entrepreneur
B.Tech,Mechanical Engineering,construction management,74.1,Yes,Civil & Structural Engineer
B.Tech,Mechanical Engineering,"Proeficiency in Software like STAAD PRO, ETABS",79.8,Yes,Civil Design Engineer
B.Tech,Computer Science Engineering,Business Knowledge;Analytical Skills;People management;Product knowledge;Problem Solving skills;Good communication skills,70,No,Quality control engineer 
B.Tech,Mathematics,"
Splunk;ServiceNow;Cybersecurity;
",84.455,Yes,Cyber Security Analyst
BE,Accounting,Hardware skills;Programming Language skills;Gathering Information;Product knowledge;SQL;Java;Automation,56,Yes,SOFTWARE Tester
B.E ,Civil Engineering,"Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, SQL, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Editing, Product Knowledge, Creativity Skills, Team work, Excel, Interpersonal Skills, Presentation Skills, C++, R, Problem Solving skills, Mass Communication, Writing, Tableau, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills, Subject Knowledge",66,Yes,Mechanical Engineer
BE,Civil Engineering,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Good communication skills,66,Yes,Production Engineer
BE,Mechanical engineering ,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Social Media Marketing;Interpersonal skills;Wealth Management;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Medical knowledge;Hospitality;HR;MATLAB;Good communication skills;Teaching;SAP;Us & Canada Recruitment (IT),66,Yes,Production Engineer
B.E ,Electronics & Telecommunications ,"Interpersonal Skills, C++, Sales",67.45,No,Mechanical Engineer
BE,Computer science ,"Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Observation Skills, Risk Managing, Reporting, Designing Skills, Building Rapport, Subject Knowledge",76,Yes,Design Engineer 
BE,Mathematics,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Leadership;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Presentation Skills;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing;Good communication skills;Teaching;AWS;Teaching experience;Excel,63.365,Yes,Product Engineer (AI/ML)
B.Sc,Mathematics,Writing skills,60,No,Mahendra Next Wealth IT Pvt Ltd.Malasamuthiram
B.Com,Automobile Engineering,Accounting Skills;Active Listening;Hardware skills,67,No,Sale executive
B.Sc,Civil Engineering,Programming Language skills;Finance related skills;SQL,78,Yes,Software Developer
B.Tech,Computer Science Engineering,"Programming,Leadership skills,Presentation skills,Team work",74.1,Yes,Embedded Developer
B.Tech,Electrical and Electronics Engineering,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Interpersonal skills;Presentation Skills;MATLAB;Good communication skills,85.025,Yes,Project Engineer 
B.Sc,Chemistry,"Excel, C++",53.2,Yes,Student (Unemployed)
B.Sc,Electronics and Communication Engineering,"Business Knowledge, Programming",81.32,No,Journalist
BE,Electrical engineering ,Active Listening;Hardware skills,60,No,Desktop support engineer
B.Sc,Computer Science Engineering,Gathering Information;Business Knowledge;Editing;Problem Solving skills;Writing skills;C++;SQL;Java,71.25,Yes,Software tester
B.Tech,Computer Science Engineering,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Product knowledge;Problem Solving skills;Java,59,Yes,VFX Designer
MBA,Mechanical Engineering,Communication skills,60,No,Hr admin
B.Sc,Commerce,"AI, ML, Python, Java, SQL, Oracle, Programming, Problem Solving skills, Tableau, Designing Skills",80,Yes,Computer Software Engineer
B.Sc,Computer Science Engineering,Active Listening;Hardware skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Finance related skills;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Sales,65.5,No,Medical representative 
B.Tech,computer science,"Python, Linux",66.5,No,Computer Software Engineer
B.Com,Electronics and Communication Engineering,"Accounting Skills, ML, Python",70,No,Back end operations
BA,Electrical and Electronics Engineering,Business Knowledge;People management;Leadership,56,No,Store manager 
B.Tech,Economics,"Python, Java, SQL, Oracle, Programming, Team work, Excel, Logical Skills, Interpersonal Skills, Linux, Problem Solving skills",66.5,No,Computer Software Engineer
B.Tech,Computer Science Engineering,Designing skills;Linux;SQL;Java;Cloud Computing;mechanical maintenance,74,No,Associate
B.M.S,Mechanical Engineering,"Business Knowledge, Work under Pressure, Team work",77,No,Sales Executive
MA,Principles of Programming Through C Language,Teaching,50,Yes,Teacher
B.Tech,Education,"Analytic Thinking, Business Knowledge, SQL, People Management, Communication Skills, Negotiation Skills, Product Knowledge, Team work, Excel, Problem Solving skills, Writing, Subject Knowledge",36.1,No,Business Analyst
B.Tech,Digital Signal Processing,PLC/SCADA/DCS/VLSI,70.3,Yes,Instrumentation and Control Engineer 
BALLB,Instrumentation Engineering,Civil & Criminal Law;Good communication skills,68.4,Yes,Law Intern
M.Sc,Fashion designing ,Communication skills;Negotiation skills;Leadership;Problem Solving skills;Writing skills;HR;Teaching,89,No,Process exceutive 
B.Tech,Mathematics,Risk management skills;Python;Artificial Intelligence,88,Yes,Mechine Learning Engineer
B.Com,Computer Science  Engineering,"Business Knowledge, Risk Managing, Reporting",82.175,No,Self employed
B.Tech,C programming ,Hardware skills,65,Yes,Cultfit
B.Tech,Mechanical ,Machine Learning skills,78,No,Engineer 
BA,BA,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,62.25,Yes,Project intern
B.Com,Commerce,"Accounting Skills, Negotiation Skills, Work under Pressure, Logical Skills",66,No,Sales Executive
BE,Automobile ,Accounting Skills;Gathering Information;People management;Communication skills;Product knowledge;Sales;Presentation Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);Excel,78.85,No,Marketing Executive
B.Com,Sales & Marketing,Team work,59.85,No,Clothes designer
BBA,Marketing analyticsÃ,Leadership,68.4,Yes,Marketing executive 
B.Com,Accountancy,"Accounting Skills, Analytic Thinking, Communication Skills, Product Knowledge, Logical Skills, Reading, Subject Knowledge",66.5,Yes,Business Analyst
B.Tech,Electrical sciences,Accounting Skills;Hardware skills;Gathering Information;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Risk management skills;Hospitality;HR,68,Yes,I m a marketing head
BA,General,Artistic/Creative Skills;Finance related skills;Mass Communication,66,Yes,software developer
B.Sc,Computer Science,Artistic/Creative Skills;Leadership,80,No,Motor controller
B.E,Mechanical Engineering,"AI, ML, Python, Programming, Excel",94.81,Yes,Student (Unemployed)
BE,MM,Communication skills;Python;Cloud Computing,64.6,No,Saleforce developer
B.Sc,Computer Science ,"AI, ML, Python, Java, SQL, Communication Skills, Negotiation Skills, Leadership, Excel, Logical Skills, Interpersonal Skills, C++, Linux, Observation Skills",80.75,Yes,Student (Unemployed)
BE,Civil,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Python;SQL;Good communication skills,50,Yes,Billing engineer 
B.Tech,Mechanical Engineering,Active Listening;Programming Language skills;Communication skills,60,Yes,Service advisor
B.Tech,Computer Science Engineering,Product knowledge;Problem Solving skills;Designing skills;Python,62,No,Telecaller
B.Sc,Computer Science Engineering,"Programming, Team work, C++, Problem Solving skills, Designing Skills, iOS",71,No,iOS Developer
Bachelor of journalism,Journalism,Active Listening;Business Knowledge;Communication skills;Mass Communication;HR,71.725,No,HR
B.E,Automobile Engineering,"Critical Thinking, Business Knowledge, Java, People Management, Work under Pressure, Leadership, Product Knowledge, Team work, Risk Managing",74.765,Yes,Computer Software Engineer
MBA,finances,Accounting Skills;Hardware skills;Product knowledge;Data Visualization skills( Power Bi/ Tableau ),76,No,accountant 
B.Tech,Information TechNAlogy,"Python, Java, SQL, Excel",64,No,Data Engineer
B.Tech,Computer Science Engineering,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Java;Cloud Computing;AWS,86.45,Yes,Data Scientist
BE,Mechanical Engineering,Active Listening;Critical Thinking;Analytical Skills;Communication skills;Negotiation skills;Designing skills;Java,70.62,Yes,Material Planner
B.Tech,Engineering,"Critical Thinking, Analytic Thinking, People Management, Work under Pressure, Product Knowledge, Market Study, Team work, Excel, Interpersonal Skills, Problem Solving skills, Sales",70.11,Yes,Student (Unemployed)
B.Tech,Computer Science and Engineering,NO,65.55,No,Software Developer
B.Tech,Electrical and Electronics Engineering,"Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",68.4,Yes,Front End Java Developer
B.Tech,Mechanical Engineering,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Negotiation skills;Leadership;Social Media Marketing;Interpersonal skills;C++;Presentation Skills;Python;SQL,78.185,No,Associate Software Engineer
B.Com,Computer Applications,Accounting Skills;Programming Language skills;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Sales;Social Media Marketing;Python;SQL;Client management,56,Yes,Field sales officer
B.Com,Accountancy,"Gathering Informing, Business Knowledge",76,No,Journalist
B.Com,Business Administration,Leadership,76,Yes,Business Analyst
B.Com,Commerce,Writing,92.15,Yes,Teacher
B.Com,Commerce,Writing,66.5,No,Teacher
B.Tech,Mechanical Engineering,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),77.9,Yes, CES-CAE- FEA Analyst
BE,Information Technology,Programming Language skills;Critical Thinking;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Java;Cloud Computing;Architecture;AWS,87.4,Yes, Database Administrator
B.Tech,Electrical and Electronics Engineering,NO,76.95,No,associate trainee
B.Tech,Computer Science Engineering,NO,76,No,trainee and associates
BE ,Mechanical Engineering,"Work under Pressure, Team work, Excel",55,No,Mechanical Engineer
MBA,Accountancy,Business Knowledge,66.5,No,Business Analyst
B.Tech,Biotechnology,"Active Listening, Leadership, Team work, Interpersonal Skills, Building Rapport",82.745,Yes,Production specialist
B.Tech,Computer Science Engineering,"Python, Java, SQL, C++",69.73,No,Computer Software Engineer
B.Tech,Mechanical Engineering,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),77.9,Yes,Mechanical Design Engineer
B.Tech,Electrical Engineering,Programming Language skills;Business Knowledge;People management;Communication skills;Java;Good communication skills,73.91,Yes,Software Developer 
BE,Mechanical engineering ,Active Listening;Critical Thinking;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Interpersonal skills;Presentation Skills,80.75,No,Mechanical product developer 
B.Tech,Mining,Hardware skills;Product knowledge,84,No,General masdor
B.Tech,Electronics and Communication Engineering,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",76,No,Teaching
B.Sc,Mathematics ,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;R;Java;MATLAB,74.1,No,Analyst
B.Tech,Electrical and Electronics Engineering,"
Cybersecurity;Information Security;Software Development Life Cycle (SDLC);Security Information and Event Management (SIEM);Security Operations Center",71.82,Yes,"
Cyber Security Analyst"
B.Tech,Information TechNAlogy,"Java, Programming",68,No,Mechanical Engineer
B.E,Electrical and Electronics Engineering,"Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting, Subject Knowledge",82.46,Yes,Data Analyst
B.Com,Computer Science Engineering,"Leadership, Product Knowledge, Team work, Excel, Sales, Building Rapport, Subject Knowledge",73.15,No,Sales Executive
BE,C++,"Communication Skills, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge, AutoCAD, CATIA",80.75,Yes,Assistant Professor
B.Tech,Sales & Marketing,C++,88,No,Senior associate
B.Tech,C programming ,Critical Thinking;Analytical Skills;Product knowledge;Problem Solving skills,73,No,Compliance Engineer
B.Tech,Electronics and Communication Engineering,"Analytic Thinking, Gathering Informing, SQL, Programming, Communication Skills, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Problem Solving skills",74,Yes,Back End Developer
B.Tech,Chemical Engineering ,"
Financial Modeling;Financial Analysis;Generally Accepted Accounting Principles (GAAP);DCF ValuationDCF Valuation;Equity Valuation;M&A analysis",79.99,Yes,Financial Analyst
B.Tech,AutoCAD,"Programming, Communication Skills, Linux",75,No,Java Developer
B.Com,Computer Science Engineering,"Accounting Skills, Interpersonal Skills, Presentation Skills",83,Yes,Student (Unemployed)
B.Tech,Electronics and Communication Engineering,Active Listening;Communication skills;Editing;Machine Learning skills,63.65,No,Mechanical Engineer 
B.Tech,Mechanical Engineering,"AI, ML, Python",71.25,Yes,Student (Unemployed)
B.Tech,Accountancy,"Business Knowledge, Leadership, News Gathering, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills",65,No,Student (Unemployed)
B.Tech,Mechanical Engineering,"Communication Skills, Team work",58.9,No,Student (Unemployed)
B.Tech,Computer Science Engineering,"AI, ML, Python, SQL",69,Yes,ASP.NET Developer
B.Sc,Physics,"ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Team work, Logical Skills, Presentation Skills, R, Subject Knowledge",64.6,Yes,Process executive-Data
BBA,Electronics and Communication Engineering,Accounting Skills;Finance related skills;Leadership;Problem Solving skills;Presentation Skills,56,Yes,Active Trading Service
M.Tech,Design,Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);construction management,74,Yes,Quality Engineer
B.Com,Finance,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Communication skills;Mass Communication;Editing;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Python;Content creation;Architecture,80,Yes,Computerized accounting
B.Tech,Computer Science,"Communication Skills, C++, Reading, Subject Knowledge",75.81,Yes,Loco pilot
BBA ,Civil Engineering,"Creativity Skills, Sales",64,No,Student (Unemployed)
B.Sc,Business Administration,Designing skills,60,Yes,Dietician
B.Tech,Computer Science Engineering,Linux;IBM AIX;Shell Scripting;Domain Name System (DNS);Secure Shell (SSH);Python;shell scripting;GIT;Jenkins;Puppet;Ansible;Nagios,82.27,Yes,DevOps Engineer
B.Com,Electrical and Electronics Engineering,Accounting Skills;Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Leadership;Problem Solving skills;Writing skills;HR;Good communication skills,77.9,Yes,ASSOCIATE OPERATIONS PROCESSOR-1
B.E,Dietician,"AI, ML, Python, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, C++, Linux, Problem Solving skills, Writing, Observation Skills, Risk Managing, Reporting",79.8,Yes,ASP.NET Developer
BE ,Computer Science Engineering,Programming,84.55,No,Front End Developer
Bachelor of journalism,Commerce,Analytical Skills;People management;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation,70,Yes,Sr. Political Analyst 
B.Tech,Computer Science Engineering,Programming Language skills;Critical Thinking;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;Artificial Intelligence;SQL;Java,66.5,Yes,Associate software engineer
B.Tech,"Reporting, Anchoring, Tv Journalism, Advertising & Radio ","ML, Python, SQL, R",67,Yes,Data Scientist
B.Tech,Computer Science Engineering,"ML, Python, SQL, R, Tableau",67,Yes,ML Engineer
B.Tech,Electrical and Electronics Engineering,PGDCA,78.85,Yes,Buisness devlopment excutive
B.Tech,Computer Science Engineering,Programming,66.5,No,Student (Unemployed)
B.Com,Computers,Artistic/Creative Skills;Content creation,75,No,Operations specialist
B.Tech,Mechanical Engineering,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Product knowledge;Machine Learning skills;Python;SQL;Cloud Computing,50,Yes,Tata projects ltd 
B.Sc,Computer Science Engineering,Programming Language skills;Analytical Skills;Editing;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Java,62.94,Yes,Data scientist
B.Tech,Computer Science Engineering,"AI, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Presentation Skills, C++, Linux, Problem Solving skills, Mass Communication, Writing, Tableau, Reading, Designing Skills, Building Rapport, Subject Knowledge",79.705,Yes,Data Analyst
BE,Mobile communications ,Active Listening;Hardware skills;Programming Language skills;Business Knowledge;People management;Communication skills;Writing skills;Machine Learning skills;C++;Presentation Skills;Python;SQL;Content creation;Java;MATLAB;Good communication skills,57,Yes,Testing engineer 
M.Com,Accountancy,"Accounting Skills, Business Knowledge, Communication Skills, Leadership, Cost Accounting, Market Study",61.75,No,Student (Unemployed)
B.Tech,Electronics and Communication Engineering,NO,76,No,Software Engineer
B.Tech,Electronics and Communication Engineering,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Machine Learning skills;Python;SQL;Good communication skills,78.85,Yes,Associate System Engineer
B.Com,Commerce,"Communication Skills, Work under Pressure, Team work, Problem Solving skills",70.3,No,Student (Unemployed)
B.Tech,Electrical and Electronics Engineering,NO,85.5,No,associate Engineer
B.Tech,Computers,Leadership;SQL,70,No,Associate Consultant
B.Tech,Electronics and Communication Engineering,"Core Skills,Programming",75.05,Yes,VLSI Developer
B.Sc,Computer Science Engineering,C++,85.595,Yes,Student (Unemployed)
B.Sc,Animation,2D/3D Animation,71.25,Yes,Graphic Designer
B.Tech,Civil Engineering,"Creativity Skills, Risk Managing, Reporting, Reading, Subject Knowledge",77.9,No,Student (Unemployed)
B.Pharmacy,pharma D,People management;Civil & Criminal Law,88,No,senior chemist 
B.Tech,Sales & Marketing,"AI, ML, Python",74.1,No,Computer Software Engineer
B.Com,Computer Applications,Accounting Skills,62.7,No,Business Analyst
B.Tech,Civil Engineering,"Proeficiency in Software like STAAD PRO, ETABS",70.3,Yes,Civil & Structural Engineer
B.Tech,Civil Engineering,"Communication skills;Negotiation skills;Leadership;Proeficiency in Software like STAAD PRO, ETABS",66.88,Yes,Civil & Structural Engineer
M.Tech,Computer Science Engineering,"Python, Java, SQL",73.435,Yes,Data Analyst
B.Sc,Statistics,"AI, ML, Editing, Market Study, Team work",88,Yes,Student (Unemployed)
BCA,"Software engineering, java programming, web development ",Hardware skills;Programming Language skills;Gathering Information;Artistic/Creative Skills;Editing;Designing skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL,80,Yes,Quality analyst 
MA,Kathak dance,Artistic/Creative Skills;Teaching,55,Yes,Dance teacher in Dehli public school Jankipuram Lucknow 
B.Tech,Electrical and Electronics Engineering,NO,85.5,No,ASE
B.E. ,Automobile Engineering,"Critical Thinking, Analytic Thinking, Work under Pressure, Leadership, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Observation Skills, Designing Skills, Subject Knowledge",87.4,Yes,Mechanical Engineer
B.Tech,Biotechnology,"
Molecular Biology;Structural Biology. Nucleic acid - Protein interactions. Data Analysis",74.195,Yes,Teaching Assistant-Biotechnology
B.Tech,Civil Engineering,"Proeficiency in Software like STAAD PRO, ETABS",77.9,Yes,Civil & Structural Engineer
B.Tech,Computer Science Engineering,"Programming,Leadership skills,Presentation skills,Team work",77.9,No,AWS Developer
B.Sc,Mathematics,"AI, ML, Python, Critical Thinking, Analytic Thinking, Team work, Logical Skills, R, Problem Solving skills, Tableau, Observation Skills, Reading",74.955,Yes,Student (Unemployed)
BALLB,Criminal justice/ law enforcement administration,Civil & Criminal Law,74.86,Yes,Litigation Lawyer
BE,Computer Science Engineering ,Programming Language skills;C++;R;Python;Java,84.55,No,Front End Developer 
B.E,Computer Science Engineering,"Python, Java, SQL",72.105,No,Student (Unemployed)
B.Tech,Civil Engineering,"Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Communication Skills, Leadership, Market Study, Team work, Tableau",82.3,Yes,Civil Engineer
BE,Mechanical Engineering,Gathering Information,56,No,Executive
M.Tech,Aeronautical,People management;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Client management,73.5,Yes,Team leader
B.Com,Accountancy,"Accounting Skills, Gathering Informing, Business Knowledge, People Management, Communication Skills, Editing, Cost Accounting, Market Study, Team work, Excel, Logical Skills, Presentation Skills, Wealth Management, Problem Solving skills, Writing, Risk Managing, Reading, Sales, Subject Knowledge",69.16,No,Data Analyst
B.Tech,Electronics and Communication Engineering,Programming Language skills;Machine Learning skills;Python;SQL;AWS,67,Yes,Application developer
BA,General studies ,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Product knowledge;Writing skills,49,Yes,Flipkart customer care executive 
BE,Mechanical Engineering,Programming Language skills;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;SQL;Java,58.9,Yes,Maintenance engineer
BE,Computer Science Engineering,"Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Java, SQL, Oracle, Programming, Communication Skills, Work under Pressure, Leadership, Editing, Excel, Logical Skills, C++, R, Linux, Problem Solving skills, Observation Skills",89.3,Yes,Student (Unemployed)
B.Tech,Electrical and Electronics Engineering,power system engineering,78.85,Yes,Maintenance Engineer-Electrical
Bachelor of journalism,Mass communication,Active Listening;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Writing skills;Social Media Marketing;Content creation;Medical knowledge;Java;Cloud Computing;Architecture;Hospitality;HR;Good communication skills,78,Yes,Content creator
B.E,Mechanical Engineering,"Active Listening, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Communication Skills, Team work, Excel",68.875,Yes,Student (Unemployed)
B.Tech,Genetic Engineering,"Life science molecular Biology genetics;
Polymerase Chain Reaction (PCR);
Protein Expression;
Biochemistry
·",66.595,Yes,"
Research Associate"
B.Tech,Computer Science Engineering,Amazon Web Services (AWS)SQL;Java,81.7,Yes,System Administrator
MBA,Hospital administration,Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Good communication skills,70,No,Ast.purchase manager
B.Pharm,Sales & Marketing,"People Management, Communication Skills, Negotiation Skills",66.5,No,Student (Unemployed)
BBA, Management,Leadership;Risk management skills;Wealth Management;Client management,67.545,Yes, Project Manager
B.Com,Commerce ,Editing;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,72,No,IT Operations
B.Com,Commerce ,Editing;Problem Solving skills;Risk management skills;Designing skills;C++;R;Python;SQL,72,No,IT Operations
B.Tech,Information Technology,Hardware skills;Programming Language skills;Gathering Information;Artistic/Creative Skills;Java;HR,82.65,No,Application Development Analyst
B.Tech,Civil Engineering,Project management,72.2,Yes,Site Civil Engineer
B.Tech,Electrical and Electronics Engineering,"Creativity Skills,Leadership,Market Study, Teamwork, Programming",71.25,Yes,Developer
B.Tech,Maths ,Accounting Skills;Business Knowledge,63.65,Yes,School accountant 
B.Tech,Computer Science Engineering,Active Listening;Programming Language skills;People management;Communication skills;Product knowledge;Linux;Java,70.7,Yes,Software developer
B.Com,Mathematics ,Artistic/Creative Skills;Analytical Skills;Editing;Writing skills,60,Yes,Dance teacher
BE,Dynamics of machine,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Client management;Good communication skills,76,No,PLM Engineer
